,기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
38,20253,R,전통시장,3130291,봉천제일종합시장,HH,정체,115,60,113,53
39,20253,R,전통시장,3130290,영림시장,LL,다이나믹,101,48,113,53
40,20253,R,전통시장,3130289,봉일시장,HH,정체,166,56,113,53
41,20253,R,전통시장,3130288,신림현대종합상가,HL,상권축소,122,50,113,53
42,20253,R,전통시장,3130287,삼성동 시장(삼성동시장),HH,정체,154,65,113,53
43,20253,R,전통시장,3130286,신신림시장(삼성동시장),HH,정체,148,60,113,53
44,20253,R,전통시장,3130285,서원동상점가,LH,상권확장,96,57,113,53
45,20253,R,전통시장,3130284,관악종합시장(신원시장),HH,정체,191,54,113,53
46,20253,R,전통시장,3130283,신원시장,HL,상권축소,126,49,113,53
47,20253,R,전통시장,3130282,난곡 골목형상점가,HL,상권축소,155,50,113,53
48,20253,R,전통시장,3130281,우림시장,HH,정체,135,69,113,53
49,20253,R,전통시장,3130280,신림종합시장,HL,상권축소,137,47,113,53
50,20253,R,전통시장,3130279,관악신사시장,HL,상권축소,126,52,113,53
51,20253,R,전통시장,3130278,미성동 도깨비시장 골목형상점가,HH,정체,117,55,113,53
52,20253,R,전통시장,3130277,조원동 펭귄시장(신림중앙시장),HL,상권축소,130,45,113,53
53,20253,R,전통시장,3130276,신림중앙시장(조원동 펭귄시장),LH,상권확장,107,56,113,53
54,20253,R,전통시장,3130275,강남골목시장,LL,다이나믹,99,46,113,53
55,20253,R,전통시장,3130274,사당1동먹자골목상점가(사당1동먹자골목),LH,상권확장,94,56,113,53
56,20253,R,전통시장,3130273,남성사계시장(남성시장),HH,정체,115,56,113,53
57,20253,R,전통시장,3130272,사당시장,HL,상권축소,137,53,113,53
58,20253,R,전통시장,3130271,남성역골목시장,HL,상권축소,124,49,113,53
59,20253,R,전통시장,3130270,흑석시장,HH,정체,122,57,113,53
60,20253,R,전통시장,3130269,강남시장(동작구 강남시장),LL,다이나믹,90,46,113,53
61,20253,R,전통시장,3130268,상도전통시장,LH,상권확장,103,55,113,53
62,20253,R,전통시장,3130267,본동인정시장(기능상실),HH,정체,206,67,113,53
63,20253,R,전통시장,3130266,만양로상점가,LH,상권확장,105,55,113,53
64,20253,R,전통시장,3130265,노량진중앙시장,LL,다이나믹,103,52,113,53
65,20253,R,전통시장,3130264,상도약수골목형상점가,LL,다이나믹,112,51,113,53
66,20253,R,전통시장,3130263,신노량진시장(기능상실),HH,정체,166,66,113,53
67,20253,R,전통시장,3130262,상도도깨비 골목형상점가,HH,정체,165,70,113,53
68,20253,R,전통시장,3130261,성대전통시장(성대시장),HH,정체,126,57,113,53
69,20253,R,전통시장,3130260,신대방1동골목상권,HL,상권축소,139,50,113,53
70,20253,R,전통시장,3130259,대신시장,HH,정체,197,68,113,53
71,20253,R,전통시장,3130258,영진시장A동,HH,정체,145,62,113,53
72,20253,R,전통시장,3130257,영등포시장기계공구상가,HH,정체,203,64,113,53
73,20253,R,전통시장,3130256,신동시장,HL,상권축소,161,53,113,53
74,20253,R,전통시장,3130255,영등포전통시장,HH,정체,178,85,113,53
75,20253,R,전통시장,3130254,남서울상가,HH,정체,257,116,113,53
76,20253,R,전통시장,3130253,영신상가(제일상가),HH,정체,228,78,113,53
77,20253,R,전통시장,3130250,삼구시장(로타리상가),HH,정체,164,61,113,53
78,20253,R,전통시장,3130249,동남상가,HH,정체,207,61,113,53
79,20253,R,전통시장,3130248,영등포역지하도상점가,HH,정체,122,68,113,53
80,20253,R,전통시장,3130247,우리시장,HH,정체,116,57,113,53
81,20253,R,전통시장,3130246,영등포청과시장(조광시장),HH,정체,145,64,113,53
82,20253,R,전통시장,3130245,영일시장,HH,정체,167,85,113,53
83,20253,R,전통시장,3130244,대림중앙시장,LL,다이나믹,98,47,113,53
84,20253,R,전통시장,3130243,도림시장,LH,상권확장,86,69,113,53
85,20253,R,전통시장,3130242,대림중앙 골목형상점가,LL,다이나믹,86,40,113,53
86,20253,R,전통시장,3130241,선유도역 골목형상점가,HL,상권축소,115,51,113,53
87,20253,R,전통시장,3130240,영등포유통상가,HH,정체,161,57,113,53
88,20253,R,전통시장,3130239,양남시장,HL,상권축소,268,46,113,53
89,20253,R,전통시장,3130238,은행나무시장,HH,정체,135,54,113,53
90,20253,R,전통시장,3130237,박미시장(기능상실),LH,상권확장,106,70,113,53
91,20253,R,전통시장,3130236,비단길현대시장(현대시장),HH,정체,122,55,113,53
92,20253,R,전통시장,3130235,대명여울빛거리시장(대명시장),HH,정체,132,62,113,53
93,20253,R,전통시장,3130234,푸른터시장(기능상실),LL,다이나믹,92,28,113,53
94,20253,R,전통시장,3130233,남문시장,HL,상권축소,124,47,113,53
95,20253,R,전통시장,3130232,독산동 맛나는거리상점가(독산동 맛나는거리),LL,다이나믹,84,47,113,53
96,20253,R,전통시장,3130231,독산동 우시장,HH,정체,173,86,113,53
97,20253,R,전통시장,3130230,가리봉시장,HH,정체,151,57,113,53
98,20253,R,전통시장,3130229,남구로시장,HH,정체,120,57,113,53
99,20253,R,전통시장,3130228,구로시장,HH,정체,151,54,113,53
100,20253,R,전통시장,3130227,고척골목시장상점가(그라운드 고척),HH,정체,123,54,113,53
101,20253,R,전통시장,3130226,고척프라자,HL,상권축소,133,44,113,53
102,20253,R,전통시장,3130225,개봉중앙시장,HH,정체,133,57,113,53
103,20253,R,전통시장,3130224,개봉프라자(고척근린시장),HH,정체,204,53,113,53
104,20253,R,전통시장,3130223,고척근린시장,HH,정체,140,57,113,53
105,20253,R,전통시장,3130222,오류시장,HH,정체,151,56,113,53
106,20253,R,전통시장,3130221,"남부골목시장(남부화곡시장, 남부시장)",HL,상권축소,119,52,113,53
107,20253,R,전통시장,3130220,등마루시장,LH,상권확장,69,59,113,53
108,20253,R,전통시장,3130219,까치산시장,LH,상권확장,113,57,113,53
109,20253,R,전통시장,3130218,신월중앙시장,HL,상권축소,122,41,113,53
110,20253,R,전통시장,3130217,화곡본동시장,HH,정체,131,54,113,53
111,20253,R,전통시장,3130216,화곡중앙시장,HH,정체,124,61,113,53
112,20253,R,전통시장,3130215,대원종합시장,HL,상권축소,174,50,113,53
113,20253,R,전통시장,3130214,송화벽화시장(송화골목시장),HH,정체,114,58,113,53
114,20253,R,전통시장,3130213,방신전통시장,HH,정체,142,60,113,53
115,20253,R,전통시장,3130212,공항시장,HH,정체,169,74,113,53
116,20253,R,전통시장,3130211,신정2동 골목시장(오목교중앙시장),HH,정체,140,61,113,53
117,20253,R,전통시장,3130210,목2동시장,HH,정체,136,55,113,53
118,20253,R,전통시장,3130209,목사랑시장(목4동시장),LL,다이나믹,109,46,113,53
119,20253,R,전통시장,3130208,목동깨비시장(목3동시장),HL,상권축소,118,52,113,53
120,20253,R,전통시장,3130207,신정1동 골목시장(신정제일시장),HH,정체,134,55,113,53
121,20253,R,전통시장,3130206,신정3동 골목시장,HL,상권축소,127,45,113,53
122,20253,R,전통시장,3130205,신곡종합시장(신월6동 골목시장),HH,정체,137,60,113,53
123,20253,R,전통시장,3130204,경창시장,HL,상권축소,127,49,113,53
124,20253,R,전통시장,3130203,서서울 골목형상점가,HL,상권축소,122,43,113,53
125,20253,R,전통시장,3130202,신영시장,HL,상권축소,119,50,113,53
126,20253,R,전통시장,3130201,월정로시장,HL,상권축소,135,49,113,53
127,20253,R,전통시장,3130200,"신월7동 골목시장(약수시장, 우성상가)",HL,상권축소,143,48,113,53
128,20253,R,전통시장,3130199,신월3동 골목시장,HL,상권축소,164,45,113,53
129,20253,R,전통시장,3130198,아현시장,HH,정체,115,65,113,53
130,20253,R,전통시장,3130197,마포시장,HH,정체,189,66,113,53
131,20253,R,전통시장,3130196,공덕시장,HH,정체,172,58,113,53
132,20253,R,전통시장,3130195,도화동 상점가,HH,정체,117,55,113,53
133,20253,R,전통시장,3130194,용강동 상점가,LH,상권확장,113,57,113,53
134,20253,R,전통시장,3130193,신수시장,HL,상권축소,185,40,113,53
135,20253,R,전통시장,3130192,동진시장,HH,정체,137,61,113,53
136,20253,R,전통시장,3130191,홍대 걷고싶은 거리,LL,다이나믹,84,48,113,53
137,20253,R,전통시장,3130190,홍대소상공인상점가,LL,다이나믹,79,46,113,53
138,20253,R,전통시장,3130189,서교시장,LL,다이나믹,103,33,113,53
139,20253,R,전통시장,3130188,합정시장,LH,상권확장,112,55,113,53
140,20253,R,전통시장,3130187,영진시장,LL,다이나믹,91,50,113,53
141,20253,R,전통시장,3130186,망원시장,LL,다이나믹,95,50,113,53
142,20253,R,전통시장,3130185,망원월드컵시장,HH,정체,125,56,113,53
143,20253,R,전통시장,3130184,마포농수산물시장,HH,정체,181,70,113,53
144,20253,R,전통시장,3130183,상암동상점가,LL,다이나믹,73,49,113,53
145,20253,R,전통시장,3130182,영천시장,HH,정체,139,59,113,53
146,20253,R,전통시장,3130181,아현가구거리상점가,HH,정체,176,86,113,53
147,20253,R,전통시장,3130180,포방터시장,HH,정체,130,56,113,53
148,20253,R,전통시장,3130179,"이화여대 3,5,7길 상점가",LL,다이나믹,112,49,113,53
149,20253,R,전통시장,3130178,이대 앞 스타트업 상점가,LL,다이나믹,107,45,113,53
150,20253,R,전통시장,3130177,인왕시장(홍제골목형상점가),HH,정체,142,75,113,53
151,20253,R,전통시장,3130176,유진상가,HH,정체,204,219,113,53
152,20253,R,전통시장,3130175,신촌 상인회(신촌상점가),LL,다이나믹,93,52,113,53
153,20253,R,전통시장,3130174,연희사러가,HH,정체,219,83,113,53
154,20253,R,전통시장,3130173,백련시장,HL,상권축소,118,50,113,53
155,20253,R,전통시장,3130172,모래내시장(서중시장),HH,정체,166,83,113,53
156,20253,R,전통시장,3130171,불광먹자골목 골목형상점가,HH,정체,129,62,113,53
157,20253,R,전통시장,3130170,제일시장,HH,정체,123,54,113,53
158,20253,R,전통시장,3130169,대조시장,HH,정체,119,56,113,53
159,20253,R,전통시장,3130168,연서시장,HH,정체,145,61,113,53
160,20253,R,전통시장,3130167,연신내상점가(연빛거리),LL,다이나믹,89,48,113,53
161,20253,R,전통시장,3130166,응암시장(신응암시장),LH,상권확장,112,58,113,53
162,20253,R,전통시장,3130165,"대림골목시장(대림시장, 양지시장)",LL,다이나믹,112,52,113,53
163,20253,R,전통시장,3130164,역촌중앙시장,HH,정체,185,137,113,53
164,20253,R,전통시장,3130163,응암오거리상점가,LL,다이나믹,111,48,113,53
165,20253,R,전통시장,3130162,증산골목시장,HH,정체,201,66,113,53
166,20253,R,전통시장,3130161,증산종합시장,LH,상권확장,96,61,113,53
167,20253,R,전통시장,3130160,수일시장,HH,정체,197,71,113,53
168,20253,R,전통시장,3130159,공릉동 도깨비시장,HH,정체,123,55,113,53
169,20253,R,전통시장,3130158,상계역전종합상가,LL,다이나믹,28,43,113,53
170,20253,R,전통시장,3130157,상계중앙시장,LL,다이나믹,109,46,113,53
171,20253,R,전통시장,3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),LH,상권확장,113,80,113,53
172,20253,R,전통시장,3130155,시영B상가(중계 그린아파트 B 상가),LH,상권확장,100,63,113,53
173,20253,R,전통시장,3130154,상계주공1단지(가)상가,LL,다이나믹,111,48,113,53
174,20253,R,전통시장,3130153,창동역상점가,LH,상권확장,113,53,113,53
175,20253,R,전통시장,3130152,오!도봉거리 상점가,HH,정체,145,53,113,53
176,20253,R,전통시장,3130151,신도봉시장,LL,다이나믹,98,50,113,53
177,20253,R,전통시장,3130150,창동골목시장,HL,상권축소,135,52,113,53
178,20253,R,전통시장,3130149,창동신창시장,HH,정체,139,54,113,53
179,20253,R,전통시장,3130148,방학동도깨비시장,HL,상권축소,123,49,113,53
180,20253,R,전통시장,3130147,쌍문역동측상점가,LH,상권확장,98,53,113,53
181,20253,R,전통시장,3130146,쌍문시장(쌍문역골목시장),HH,정체,129,54,113,53
182,20253,R,전통시장,3130145,쌍문역둘리상점가,LH,상권확장,82,54,113,53
183,20253,R,전통시장,3130144,백운시장,HL,상권축소,150,45,113,53
184,20253,R,전통시장,3130143,방천골목시장,HL,상권축소,114,53,113,53
185,20253,R,전통시장,3130142,강북북부시장,HH,정체,126,63,113,53
186,20253,R,전통시장,3130141,강북북부골목시장,HL,상권축소,151,45,113,53
187,20253,R,전통시장,3130140,숭인시장,HH,정체,150,68,113,53
188,20253,R,전통시장,3130139,강북종합전통시장(강북종합골목시장),LL,다이나믹,99,43,113,53
189,20253,R,전통시장,3130138,수유프라자,HH,정체,188,56,113,53
190,20253,R,전통시장,3130137,"수유전통시장(수유시장, 수유골목시장)",HH,정체,154,62,113,53
191,20253,R,전통시장,3130136,수유재래시장,HL,상권축소,140,37,113,53
192,20253,R,전통시장,3130135,수유중앙골목시장(수유중앙시장),HL,상권축소,116,45,113,53
193,20253,R,전통시장,3130134,"솔샘시장(미아6,7동골목시장)",HH,정체,126,58,113,53
194,20253,R,전통시장,3130133,우이골목시장(우이시장),LL,다이나믹,98,51,113,53
195,20253,R,전통시장,3130132,삼양골목시장(삼양시장),HH,정체,127,53,113,53
196,20253,R,전통시장,3130131,동북프라자,HH,정체,143,58,113,53
197,20253,R,전통시장,3130130,수유북부골목시장,HL,상권축소,201,40,113,53
198,20253,R,전통시장,3130129,장미원골목시장,HH,정체,136,55,113,53
199,20253,R,전통시장,3130128,돌곶이시장(석관황금시장),HL,상권축소,122,47,113,53
200,20253,R,전통시장,3130127,석관시장,HH,정체,132,63,113,53
201,20253,R,전통시장,3130126,새석관시장,HH,정체,149,61,113,53
202,20253,R,전통시장,3130125,장위전통시장,HH,정체,160,68,113,53
203,20253,R,전통시장,3130124,번동시장,HL,상권축소,172,49,113,53
204,20253,R,전통시장,3130123,꿈의숲 장곡 골목형상점가,HH,정체,114,59,113,53
205,20253,R,전통시장,3130122,밤나무골시장,HL,상권축소,137,49,113,53
206,20253,R,전통시장,3130121,길음시장,HH,정체,195,69,113,53
207,20253,R,전통시장,3130120,돈암시장(돈암제일시장),LH,상권확장,112,57,113,53
208,20253,R,전통시장,3130119,정릉아리랑시장,HL,상권축소,143,52,113,53
209,20253,R,전통시장,3130118,정릉골 골목형상점가,HL,상권축소,133,50,113,53
210,20253,R,전통시장,3130117,정릉시장,HH,정체,114,58,113,53
211,20253,R,전통시장,3130116,동성타워프라자,LH,상권확장,83,56,113,53
212,20253,R,전통시장,3130115,우림골목시장,HH,정체,124,56,113,53
213,20253,R,전통시장,3130114,유영시장,LH,상권확장,77,75,113,53
214,20253,R,전통시장,3130113,신아타운,LL,다이나믹,88,47,113,53
215,20253,R,전통시장,3130112,사가정시장,LL,다이나믹,113,50,113,53
216,20253,R,전통시장,3130111,"동원전통종합시장(동원시장, 동원전통시장 상점가)",HL,상권축소,126,51,113,53
217,20253,R,전통시장,3130110,면목골목시장(면목시장),HH,정체,121,56,113,53
218,20253,R,전통시장,3130109,묵1동도깨비시장,LH,상권확장,102,55,113,53
219,20253,R,전통시장,3130108,태능엔터피아(태릉시장),LL,다이나믹,69,44,113,53
220,20253,R,전통시장,3130107,중랑동부시장(중랑교종합상가),LH,상권확장,111,55,113,53
221,20253,R,전통시장,3130106,중랑동부시장,LL,다이나믹,111,51,113,53
222,20253,R,전통시장,3130105,장미제일시장(중화동제일시장),LL,다이나믹,91,52,113,53
223,20253,R,전통시장,3130104,전곡시장,HH,정체,142,60,113,53
224,20253,R,전통시장,3130103,이경시장,HH,정체,148,59,113,53
225,20253,R,전통시장,3130102,이문제일시장,HH,정체,138,54,113,53
226,20253,R,전통시장,3130101,답십리현대시장,HH,정체,129,57,113,53
227,20253,R,전통시장,3130100,답십리시장,LL,다이나믹,110,49,113,53
228,20253,R,전통시장,3130099,전농로터리시장,HH,정체,142,66,113,53
229,20253,R,전통시장,3130098,회기시장,LH,상권확장,102,56,113,53
230,20253,R,전통시장,3130097,답십리 건축자재시장,HL,상권축소,134,52,113,53
231,20253,R,전통시장,3130096,동부시장,HH,정체,179,77,113,53
232,20253,R,전통시장,3130095,청량리전통시장,HH,정체,143,62,113,53
233,20253,R,전통시장,3130094,청량리청과물시장,HH,정체,144,79,113,53
234,20253,R,전통시장,3130093,동서시장,HH,정체,191,171,113,53
235,20253,R,전통시장,3130092,청량리농수산물시장,HH,정체,145,100,113,53
236,20253,R,전통시장,3130091,청량종합도매시장,HH,정체,146,60,113,53
237,20253,R,전통시장,3130090,청량리종합시장,HH,정체,155,96,113,53
238,20253,R,전통시장,3130089,청량리수산시장,HH,정체,177,94,113,53
239,20253,R,전통시장,3130088,경동시장,HH,정체,170,102,113,53
240,20253,R,전통시장,3130087,경동광성상가(경동시장),HH,정체,173,99,113,53
241,20253,R,전통시장,3130086,서울약령시장,HH,정체,149,66,113,53
242,20253,R,전통시장,3130085,용두시장,HL,상권축소,163,39,113,53
243,20253,R,전통시장,3130084,신성시장(신성골목시장),HH,정체,146,65,113,53
244,20253,R,전통시장,3130083,"중곡제일시장(중곡제일골목시장, 광성시장)",HL,상권축소,116,51,113,53
245,20253,R,전통시장,3130082,면곡골목시장,HH,정체,128,56,113,53
246,20253,R,전통시장,3130081,자양골목전통시장(자양골목시장),HL,상권축소,131,50,113,53
247,20253,R,전통시장,3130080,자양종합시장(기능상실),HL,상권축소,169,27,113,53
248,20253,R,전통시장,3130079,한아름시장,LH,상권확장,105,62,113,53
249,20253,R,전통시장,3130078,화양제일골목시장,LL,다이나믹,98,52,113,53
250,20253,R,전통시장,3130077,조양시장,LH,상권확장,109,57,113,53
251,20253,R,전통시장,3130076,능동로골목시장,HL,상권축소,150,50,113,53
252,20253,R,전통시장,3130075,노룬산시장(노룬산골목시장),HH,정체,171,59,113,53
253,20253,R,전통시장,3130074,영동교골목시장,HL,상권축소,129,50,113,53
254,20253,R,전통시장,3130073,뚝도시장,HH,정체,123,63,113,53
255,20253,R,전통시장,3130072,성동용답상가시장,HH,정체,115,55,113,53
256,20253,R,전통시장,3130071,성수역 골목형상점가,LL,다이나믹,102,51,113,53
257,20253,R,전통시장,3130070,뚝섬역상점가,LL,다이나믹,112,52,113,53
258,20253,R,전통시장,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",LL,다이나믹,107,51,113,53
259,20253,R,전통시장,3130068,마장축산물시장,HH,정체,168,82,113,53
260,20253,R,전통시장,3130067,왕십리도선동상점가,LH,상권확장,111,55,113,53
261,20253,R,전통시장,3130066,행당시장상점가,LH,상권확장,111,55,113,53
262,20253,R,전통시장,3130065,무학봉상점가,HH,정체,117,54,113,53
263,20253,R,전통시장,3130064,금남시장,HH,정체,150,74,113,53
264,20253,R,전통시장,3130063,신금호역 골목형상점가,LH,상권확장,109,56,113,53
265,20253,R,전통시장,3130062,보광시장,HH,정체,177,89,113,53
266,20253,R,전통시장,3130061,이태원시장,HH,정체,149,73,113,53
267,20253,R,전통시장,3130060,신흥시장,LH,상권확장,91,56,113,53
268,20253,R,전통시장,3130059,후암시장,HH,정체,135,66,113,53
269,20253,R,전통시장,3130058,이촌종합시장,HH,정체,144,59,113,53
270,20253,R,전통시장,3130057,만리시장,HH,정체,157,67,113,53
271,20253,R,전통시장,3130056,용산용문시장,HH,정체,135,59,113,53
272,20253,R,전통시장,3130055,"황학시장(서울중앙시장, 신중앙시장)",HH,정체,145,66,113,53
273,20253,R,전통시장,3130054,황학동주방가구거리상점가,HH,정체,139,75,113,53
274,20253,R,전통시장,3130053,백학시장,HH,정체,130,54,113,53
275,20253,R,전통시장,3130052,서울중앙시장(신중앙시장),HH,정체,144,79,113,53
276,20253,R,전통시장,3130051,동화동 골목형상점가,HH,정체,120,55,113,53
277,20253,R,전통시장,3130050,청평화시장,LH,상권확장,104,69,113,53
278,20253,R,전통시장,3130049,신당 미래유산 먹거리 골목형상점가,HL,상권축소,144,50,113,53
279,20253,R,전통시장,3130048,동평화시장,HH,정체,144,71,113,53
280,20253,R,전통시장,3130047,테크노상가(엘리시움),HH,정체,130,72,113,53
281,20253,R,전통시장,3130046,team204(팀204),HH,정체,139,73,113,53
282,20253,R,전통시장,3130042,약수시장,HH,정체,119,56,113,53
283,20253,R,전통시장,3130038,"평화시장(통일상가, 동화상가)",HH,정체,158,58,113,53
284,20253,R,전통시장,3130036,중부시장(신중부시장),HH,정체,200,91,113,53
285,20253,R,전통시장,3130035,방산종합시장(방산시장),HH,정체,173,74,113,53
286,20253,R,전통시장,3130034,필동 골목형상점가,HH,정체,156,53,113,53
287,20253,R,전통시장,3130033,대림상가(청계상가),HH,정체,182,86,113,53
288,20253,R,전통시장,3130032,인현시장,HH,정체,145,59,113,53
289,20253,R,전통시장,3130031,청계천공구상가,HH,정체,167,74,113,53
290,20253,R,전통시장,3130025,삼익패션타운(남대문시장),HH,정체,169,68,113,53
291,20253,R,전통시장,3130024,남대문시장(자유상가),HH,정체,175,80,113,53
292,20253,R,전통시장,3130022,숭례문수입상가(남대문시장),HH,정체,230,82,113,53
293,20253,R,전통시장,3130021,신설종합시장,LH,상권확장,86,54,113,53
294,20253,R,전통시장,3130020,동묘시장(동묘벼룩시장),LH,상권확장,103,54,113,53
295,20253,R,전통시장,3130019,동대문상가D동,LH,상권확장,111,67,113,53
296,20253,R,전통시장,3130018,동대문문구완구거리(동대문문구완구시장),HH,정체,148,69,113,53
297,20253,R,전통시장,3130017,동대문상가C동,HH,정체,133,105,113,53
298,20253,R,전통시장,3130016,동대문상가B동,HH,정체,162,107,113,53
299,20253,R,전통시장,3130015,창신골목시장,HH,정체,139,60,113,53
300,20253,R,전통시장,3130014,동문시장,HH,정체,196,98,113,53
301,20253,R,전통시장,3130013,동대문상가A동,HH,정체,138,94,113,53
302,20253,R,전통시장,3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",HH,정체,143,87,113,53
303,20253,R,전통시장,3130011,충신시장,HH,정체,158,61,113,53
304,20253,R,전통시장,3130010,종로신진시장,HH,정체,148,78,113,53
305,20253,R,전통시장,3130009,마전교지하쇼핑센터(구 한일상가),HH,정체,145,87,113,53
306,20253,R,전통시장,3130007,광장시장(광장전통시장),HH,정체,204,100,113,53
307,20253,R,전통시장,3130005,세운상가가동,HH,정체,261,97,113,53
308,20253,R,전통시장,3130004,낙원시장(낙원지하시장(대일상가)),HH,정체,242,109,113,53
309,20253,R,전통시장,3130002,세종마을음식문화거리(금천교시장),LH,상권확장,107,61,113,53
310,20253,R,전통시장,3130001,통인시장,LH,상권확장,106,60,113,53
311,20253,D,발달상권,3120249,고덕역,LH,상권확장,104,58,113,53
312,20253,D,발달상권,3120248,명일역,LL,다이나믹,111,52,113,53
313,20253,D,발달상권,3120247,굽은다리역,LL,다이나믹,86,42,113,53
314,20253,D,발달상권,3120246,길동역,LL,다이나믹,104,47,113,53
315,20253,D,발달상권,3120245,둔촌역,HL,상권축소,120,52,113,53
316,20253,D,발달상권,3120244,암사역,HL,상권축소,121,51,113,53
317,20253,D,발달상권,3120243,천호역,HH,정체,122,56,113,53
318,20253,D,발달상권,3120242,강동구청역,HL,상권축소,117,50,113,53
319,20253,D,발달상권,3120241,거여역,HL,상권축소,123,51,113,53
320,20253,D,발달상권,3120240,개롱역,LL,다이나믹,106,51,113,53
321,20253,D,발달상권,3120239,오금역,LL,다이나믹,111,44,113,53
322,20253,D,발달상권,3120238,방이역,LL,다이나믹,100,51,113,53
323,20253,D,발달상권,3120237,경찰병원역,LL,다이나믹,108,45,113,53
324,20253,D,발달상권,3120236,장지역(가든파이브),LH,상권확장,112,53,113,53
325,20253,D,발달상권,3120235,문정역,LL,다이나믹,88,36,113,53
326,20253,D,발달상권,3120234,가락시장역,HL,상권축소,125,48,113,53
327,20253,D,발달상권,3120233,몽촌토성역,LL,다이나믹,95,52,113,53
328,20253,D,발달상권,3120232,송파나루역,LL,다이나믹,108,50,113,53
329,20253,D,발달상권,3120231,가락시장,HH,정체,225,149,113,53
330,20253,D,발달상권,3120230,송파사거리(송파역),LL,다이나믹,111,49,113,53
331,20253,D,발달상권,3120229,방이동먹자골목,LL,다이나믹,93,47,113,53
332,20253,D,발달상권,3120228,석촌역(석촌호수),LL,다이나믹,111,48,113,53
333,20253,D,발달상권,3120227,잠실역,LH,상권확장,110,61,113,53
334,20253,D,발달상권,3120226,석촌고분역,LL,다이나믹,108,48,113,53
335,20253,D,발달상권,3120225,잠실새내역(신천),LL,다이나믹,96,48,113,53
